id,color,flex,length,tensity,N
837,4,21,65,192,11
838,4,27,61,184,11
839,4,35,59,181,11
840,4,41,62,225,12
841,4,33,67,209,12
842,4,36,62,217,12
844,4,37,65,218,12
845,3,28,67,192,11
846,4,44,66,210,12
847,3,38,67,181,11
848,4,39,61,209,12
849,3,33,61,186,11
850,3,33,63,220,11
851,3,35,63,222,11
852,3,36,62,198,11
853,3,42,60,191,11
854,4,44,63,217,12
855,3,36,60,202,11
856,4,31,64,252,12
857,4,31,63,212,11
858,4,32,62,234,12
859,4,35,61,203,11
860,4,39,63,227,12
861,4,30,63,165,11
862,3,36,63,216,11
863,4,33,69,184,12
864,4,35,72,163,12
865,4,37,57,201,11
866,3,42,61,190,11
867,3,37,67,140,11
868,4,37,63,206,12
869,3,34,64,164,11
870,4,35,62,219,12
871,3,33,70,192,11
872,3,36,62,219,11
873,4,42,62,198,12
874,4,34,65,203,12
875,3,30,64,181,11
876,3,39,62,208,11
877,4,32,60,220,11
878,4,40,67,169,12
879,4,34,60,181,11
880,4,36,65,198,12
881,3,37,60,208,11
882,3,39,61,200,11
883,3,31,64,172,11
884,4,31,67,182,12
885,3,30,63,191,11
886,3,30,63,203,11
887,4,30,66,207,12
888,3,36,61,199,11
889,4,51,60,183,12
890,2,30,59,198,10
891,3,40,60,180,11
892,4,45,64,214,12
893,3,53,57,178,11
894,3,38,62,210,11
895,3,35,61,198,11
896,3,43,59,190,11
897,3,37,61,185,11
898,4,39,64,187,12
899,4,32,64,164,11
900,4,32,60,202,11
901,4,43,61,215,12
902,4,45,64,205,12
903,4,35,65,208,12
904,3,39,63,197,11
905,3,38,65,211,11
906,3,40,62,165,11
907,3,39,62,203,11
908,3,36,63,216,11
909,3,41,59,197,11
910,4,45,60,217,12
911,3,38,58,215,11
912,3,32,62,196,11
913,3,36,61,205,11
914,3,33,66,178,11
915,4,40,67,214,12
916,3,36,63,200,11
917,3,39,62,208,11
918,4,38,66,229,12
919,4,39,64,213,12
920,4,38,61,211,12
921,4,37,61,219,12
922,3,42,62,209,11
923,4,41,64,222,12
924,4,37,63,203,12
925,4,34,64,224,12
926,4,31,62,174,11
927,2,31,63,232,11
928,3,38,64,205,11
929,3,44,58,182,11
930,4,37,65,227,12
931,3,37,63,166,11
932,3,34,63,228,11
933,4,38,63,200,12
934,3,46,61,195,11
935,2,38,58,187,10
936,3,41,64,215,11
937,4,38,65,216,12
938,3,36,58,214,11
939,4,41,61,213,12
940,3,36,62,211,11
941,4,37,59,198,11
942,4,31,65,229,12
943,3,28,67,237,11
944,3,42,63,215,11
945,3,30,62,231,11
946,3,40,61,209,11
947,4,34,63,225,12
948,4,34,64,212,12
949,3,32,63,197,11
950,4,35,63,244,12
951,4,39,62,208,12
952,2,36,59,185,10
953,3,31,63,179,11
954,3,48,57,238,11
955,4,37,64,217,12
956,3,36,61,204,11
957,4,37,60,181,11
958,4,39,63,248,12
959,3,38,61,204,11
960,3,49,66,175,12
961,4,36,62,223,12
962,4,30,63,241,12
963,4,32,65,223,12
964,3,30,61,206,11
965,3,45,64,287,12
966,3,34,62,193,11
967,4,36,62,215,12
968,3,34,62,207,11
969,4,41,67,273,13
970,3,34,68,195,11
971,4,46,61,173,12
972,3,42,61,166,11
973,3,37,61,203,11
974,4,31,61,195,11
975,3,39,60,200,11
976,4,38,65,232,12
977,3,42,67,193,12
978,3,40,61,188,11
979,4,38,61,218,12
980,2,29,60,198,10
981,3,34,62,207,11
982,3,43,61,156,11
983,3,31,58,175,10
984,3,35,64,203,11
985,4,32,64,166,11
986,3,34,64,228,11
987,3,31,69,215,12
988,3,35,62,198,11
989,3,37,67,180,11
990,3,37,63,170,11
991,3,43,60,170,11
992,3,35,62,197,11
993,3,40,62,210,11
994,3,28,64,223,11
995,4,43,64,213,12
996,3,37,61,204,11
997,4,42,63,191,12
998,3,40,58,170,10
999,4,49,64,209,12
1000,4,38,63,218,12
1001,3,37,63,198,11
1002,3,42,60,179,11
1003,3,32,61,197,11
1004,3,32,62,199,11
1005,4,28,62,194,11
1006,3,35,62,188,11
1007,3,43,62,244,12
1008,3,39,61,205,11
1009,3,41,62,190,11
1010,2,32,63,218,10
1011,3,32,62,189,11
1012,4,41,66,180,12
1013,4,32,65,216,12
1014,4,36,61,232,12
1015,4,38,63,197,12
1016,3,33,67,220,12
1017,2,49,60,199,11
1018,3,36,63,219,11
1019,4,32,66,189,12
1020,3,30,62,176,10
1021,3,38,62,213,11
1022,2,39,63,207,11
1023,3,36,59,206,11
1024,3,48,60,216,11
1025,3,31,63,214,11
1026,4,35,62,201,11
1028,3,36,62,216,11
1029,4,39,68,204,12
1030,4,32,64,224,12
1031,3,35,62,199,11
1032,3,35,55,207,10
1033,3,48,67,207,12
1034,4,29,67,257,12
1035,4,31,61,191,11
1036,3,40,59,191,11
1037,3,31,60,173,10
1038,3,48,64,263,12
1039,3,34,63,205,11
1040,4,34,64,216,12
1041,4,32,64,178,11
1042,3,42,59,179,11
1043,3,34,62,188,11
1044,4,40,62,201,12
1045,3,31,61,197,11
1046,3,39,61,186,11
1047,4,36,64,213,12
1048,4,37,61,219,12
1049,4,40,64,223,12
1050,4,28,66,238,12
1051,4,36,65,185,11
1052,3,36,61,191,11
1053,4,36,62,217,12
1054,3,37,61,179,11
1055,3,40,62,211,11
1056,3,40,61,198,11
1057,3,34,63,216,11
1058,4,43,65,178,12
1059,4,40,64,197,12
1060,3,27,63,199,11
1061,3,36,61,221,11
1062,3,36,61,193,11
1063,3,37,61,166,11
1064,3,37,61,211,11
1065,3,36,62,200,11
1066,4,31,61,187,11
1067,3,42,62,225,11
1068,3,36,61,203,11
1069,4,36,64,205,12
1070,4,40,62,195,12
1071,4,34,60,173,11
1072,4,36,59,199,11
1073,3,38,61,210,11
1074,3,34,61,191,11
1075,3,36,61,205,11
1076,3,35,62,197,11
1077,4,42,62,219,12
1078,2,40,59,188,10
1079,3,40,61,194,11
1080,3,29,62,201,11
1082,3,35,63,219,11
1083,3,39,61,154,11
1084,2,29,59,195,10
1085,3,44,68,237,12
1086,4,38,63,207,12
1087,4,41,62,195,12
1088,4,38,63,227,12
1089,4,32,59,187,11
1090,3,36,62,204,11
1091,4,41,63,207,12
1092,3,40,64,211,11
1093,3,41,60,189,11
1094,3,38,61,195,11
1096,4,40,62,223,12
1097,4,42,63,214,12
1098,2,32,59,183,10
1099,3,42,62,177,11
1100,3,40,64,208,11
1101,3,36,63,209,11
1102,3,43,60,222,11
1103,3,34,61,213,11
1104,4,38,63,228,12
1105,4,40,65,213,12
1106,3,37,63,219,11
1107,3,33,62,202,11
1108,3,38,65,213,11
1109,4,42,63,191,12
1110,3,38,61,199,11
1111,4,38,64,210,12
1112,3,38,62,213,11
1113,3,35,62,220,11
1114,4,39,62,203,12
1115,4,41,64,215,12
1116,3,28,66,197,11
1117,3,33,63,201,11
1118,3,35,65,200,11
1119,2,38,59,185,10
1120,3,34,62,225,11
1121,3,32,60,223,11
1122,4,42,65,221,12
1123,4,40,63,224,12
1124,4,39,61,217,12
1125,3,36,62,218,11
1126,3,38,59,238,11
1127,3,28,60,191,10
